id,sku,product_name,short_description,price,list_price,origin_price,discount,discount_rate,all_time_quantity_sold,rating_average,review_count,inventory_status,stock_item_qty,stock_item_max_sale_qty,brand_id,brand_name,url_key,url_path,thumbnail_url,options,specification,variations,date
321436,0220042002559,Laptop Acer Aspire 3 A315 44P R9W8 R7 5700U/8GB/512GB/Win11 (NX.KSJSV.002),Laptop Acer Aspire A315 44P R9W8 R7 5700U (NX.KSJSV.002) chiếc laptop sở hữu một thiết kế vô cùng thanh lịch; tao nhã đi cùng với nó là cấu hình "nhẹ nhàng" phù hợp cho các bạn học sinh; sinh viên hoặc nhân viên văn phòng thiên về các ngành kinh tế nằm trong phân khúc giá.,10690000,12990000,12990000,2300000,17,,4.9,49,availability,42,22,44,Acer,acer-aspire-a315-44p-r9w8-r7-nxksjsv002,/laptop/acer-aspire-a315-44p-r9w8-r7-nxksjsv002,https://cdn.tgdd.vn/Products/Images/44/321436/acer-aspire-a315-44p-r9w8-r7-nxksjsv002-thumb-600x600.jpg,{"Cấu hình":["RAM 8 GB" "SSD 512 GB"]},{"screen":"Màn hình: 15.6\"; Full HD (1920 x 1080)";"cpu":"CPU: Ryzen 7; 5700U; 1.8GHz";"weight":"Khối lượng: 1.7 kg";"battery":"Pin: 3-cell; 50Wh";"card":"Card: Radeon"},[],2024-12-09
326637,0220042002712,Laptop Acer Aspire Lite 14 51M 59BN i5 1235U/16GB/512GB/Win11 (NX.KTXSV.001),Chiếc laptop Acer Aspire Lite 14 51M 59BN i5 1235U (NX.KTXSV.001) không chỉ gây ấn tượng bởi thiết kế thanh lịch; mà còn nổi bật với cấu hình phần cứng mạnh mẽ so với các mẫu laptop cùng phân khúc. Đây là chiếc máy lý tưởng cho việc học tập và làm việc văn phòng; mang lại trải nghiệm sử dụng và giải trí tuyệt vời.,13490000,14990000,14990000,1500000,10,,5,5,availability,42,22,44,Acer,acer-aspire-lite-14-51m-59bn-i5-nxktxsv001,/laptop/acer-aspire-lite-14-51m-59bn-i5-nxktxsv001,https://cdn.tgdd.vn/Products/Images/44/326637/acer-aspire-lite-14-51m-59bn-i5-nxktxsv001-100624-101857-600x600.jpg,{"Cấu hình":["RAM 16 GB" "SSD 512 GB"]},{"screen":"Màn hình: 14\"; Full HD+ (1920 x 1200)";"cpu":"CPU: i5; 1235U; 1.3GHz";"weight":"Khối lượng: 1.5 kg";"battery":"Pin: 3-cell Li-ion; 58 Wh";"card":"Card: Intel UHD"},[],2024-12-09
322222,0220042002575,Laptop Acer Aspire 3 A314 42P R3B3 R7 5700U/16GB/512GB/Win11 (NX.KSFSV.001),Mẫu máy tính xách tay văn phòng quốc dân; laptop Acer Aspire 3 A314 42P R3B3 R7 5700U (NX.KSFSV.001) với bộ thông số cấu hình ổn định cho mọi công việc và giải trí cá nhân; kiểu dáng thanh lịch cùng kích thước nhỏ gọn là sự lựa chọn hoàn hảo theo xu thế ngày nay.,11490000,13990000,13990000,2500000,17,,4.9,49,availability,42,22,44,Acer,acer-aspire-3-a314-42p-r3b3-r7-nxksfsv001?utm_flashsale=1,/laptop/acer-aspire-3-a314-42p-r3b3-r7-nxksfsv001?utm_flashsale=1,https://cdn.tgdd.vn/Products/Images/44/322222/TimerThumb/322222-thumb.png,{"Cấu hình":["RAM 16 GB" "SSD 512 GB"]},{"screen":"Màn hình: 14\"; WUXGA";"cpu":"CPU: Ryzen 7; 5700U; 1.8GHz";"weight":"Khối lượng: 1.4 kg";"battery":"Pin: 3-cell; 50Wh";"card":"Card: Radeon"},[],2024-12-09
329075,0220042002817,Laptop Acer Aspire 3 A315 58 529V i5 1135G7/8GB/256GB/Win11 (NX.ADDSV.00N),Khám phá sự kết hợp hoàn hảo giữa sự sang trọng và hiệu suất ổn định với mẫu laptop Acer Aspire 3 A315 58 529V i5 1135G7 (NX.ADDSV.00N). Với thiết kế thanh lịch và tinh tế; chiếc laptop này không chỉ thu hút mọi ánh nhìn mà còn hứa hẹn mang đến những trải nghiệm làm việc và giải trí phù hợp với nhiều người dùng hiện nay.,8990000,10990000,10990000,2000000,18,,4.9,49,availability,42,22,44,Acer,acer-aspire-3-a315-58-529v-i5-nxaddsv00n,/laptop/acer-aspire-3-a315-58-529v-i5-nxaddsv00n,https://cdn.tgdd.vn/Products/Images/44/329075/acer-aspire-3-a315-58-529v-i5-nxaddsv00n-140924-125407-600x600.jpg,{"Cấu hình":["RAM 8 GB" "SSD 256 GB"]},{"screen":"Màn hình: 15.6\"; Full HD (1920 x 1080)";"cpu":"CPU: i5; 1135G7; 2.4GHz";"weight":"Khối lượng: 1.7 kg";"battery":"Pin: 2-cell; 36.7Wh";"card":"Card: Intel Iris Xe"},[],2024-12-09
326875,0220042002736,Laptop Acer Aspire Lite 14 51M 36MH i3 1215U/8GB/256GB/Win11 (NX.KTVSV.001),Laptop Acer Aspire Lite 14 51M 36MH i3 1215U (NX.KTVSV.001) luôn chiếm sự ưu ái cao của người dùng trong phân khúc máy tính xách tay giá rẻ bởi thiết kế sang trọng; hiện đại; cấu hình ổn định và tính ứng dụng cao trong công việc.,9190000,10490000,10490000,1300000,12,,5,5,availability,42,22,44,Acer,acer-aspire-lite-14-51m-36mh-i3-nxktvsv001,/laptop/acer-aspire-lite-14-51m-36mh-i3-nxktvsv001,https://cdn.tgdd.vn/Products/Images/44/326875/acer-aspire-lite-14-51m-36mh-i3-nxktvsv001-thumb-600x600.jpg,{"Cấu hình":["RAM 8 GB" "SSD 256 GB"]},{"screen":"Màn hình: 14\"; Full HD+ (1920 x 1200)";"cpu":"CPU: i3; 1215U; 1.2GHz";"weight":"Khối lượng: 1.5 kg";"battery":"Pin: 3-cell Li-ion; 58 Wh";"card":"Card: Intel UHD"},[],2024-12-09
326876,0220042002737,Laptop Acer Aspire Lite 14 51M 36PN i3 1215U/8GB/512GB/Win11 (NX.KTWSV.001),Laptop Acer Aspire Lite 14 51M 36PN i3 1215U (NX.KTWSV.001) mẫu máy học tập; văn phòng sở hữu sự cân bằng vượt trội với tính ứng dụng cao; giá thành kinh tế lại còn có thiết kế vô cùng hiện đại. Mẫu laptop chính là một phiên bản hoàn hảo cho những ai tìm kiếm một công cụ làm việc đa năng với mức giá thành thấp.,9690000,10990000,10990000,1300000,11,,5,5,availability,42,22,44,Acer,acer-aspire-lite-14-51m-36pn-i3-nxktwsv001,/laptop/acer-aspire-lite-14-51m-36pn-i3-nxktwsv001,https://cdn.tgdd.vn/Products/Images/44/326876/acer-aspire-lite-14-51m-36pn-i3-nxktwsv001-thumb-600x600.jpg,{"Cấu hình":["RAM 8 GB" "SSD 512 GB"]},{"screen":"Màn hình: 14\"; Full HD+ (1920 x 1200)";"cpu":"CPU: i3; 1215U; 1.2GHz";"weight":"Khối lượng: 1.5 kg";"battery":"Pin: 3-cell Li-ion; 58 Wh";"card":"Card: Intel UHD"},[],2024-12-09
330169,0220042002838,Laptop Acer Predator Helios Neo PHN16 71 53M7 i5 13500HX/16GB/512GB/8GB RTX4060/165Hz/Win11 (NH.QLUSV.005),Laptop Acer Predator Helios Neo PHN16 71 53M7 i5 13500HX (NH.QLUSV.005) là sự lựa chọn hàng đầu cho các game thủ và người làm việc chuyên nghiệp cần một chiếc máy tính mạnh mẽ; hiệu suất cao. Đây là mẫu laptop gaming mang trong mình sức mạnh đỉnh cao với cấu hình vượt trội từ chip Intel dòng HX hiệu năng cao; card đồ họa rời RTX 40 series; mang đến trải nghiệm mượt mà cho cả chơi game lẫn xử lý công việc đồ họa.,25490000,37990000,37990000,12500000,32,,4.9,49,availability,42,22,44,Acer,acer-predator-helios-neo-phn16-71-53m7-i5-nhqlusv005,/laptop/acer-predator-helios-neo-phn16-71-53m7-i5-nhqlusv005,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/330169/acer-predator-helios-neo-phn16-71-53m7-i5-nhqlusv005-thumb-638627244359058726-600x600.jpg,{"Cấu hình":["RAM 16 GB" "SSD 512 GB"]},{"screen":"Màn hình: 16\"; WUXGA; 165Hz";"cpu":"CPU: i5; 13500HX; 2.5GHz";"weight":"Khối lượng: 2.6 kg";"battery":"Pin: 4-cell; 90Wh";"card":"Card: RTX 4060 8GB"},[],2024-12-09
330168,0220042002839,Laptop Acer Aspire 5 A514 56P 742F i7 1355U/16GB/512GB/Win11 (NX.KHRSV.005),Dòng laptop Acer Aspire luôn ghi điểm với người dùng nhờ sự cân bằng tuyệt vời giữa giá cả và hiệu năng. Phiên bản laptop Acer Aspire 5 A514 56P 742F i7 1355U (NX.KHRSV.005) duy trì điều đó khá tốt với thiết kế thanh lịch; cấu hình mạnh mẽ và màn hình WUXGA sắc nét; mang lại trải nghiệm học tập; làm việc và giải trí hoàn hảo cho phân khúc tầm trung.,13990000,19990000,19990000,6000000,30,,5,5,availability,42,22,44,Acer,acer-aspire-5-a514-56p-742f-i7-nxkhrsv005,/laptop/acer-aspire-5-a514-56p-742f-i7-nxkhrsv005,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/330168/acer-aspire-5-a514-56p-742f-i7-nxkhrsv005-thumb-638628535714824429-600x600.jpg,{"Cấu hình":["RAM 16 GB" "SSD 512 GB"]},{"screen":"Màn hình: 14\"; WUXGA";"cpu":"CPU: i7; 1355U; 1.7GHz";"weight":"Khối lượng: 1.5 kg";"battery":"Pin: 3-cell; 50Wh";"card":"Card: Intel Iris Xe"},[],2024-12-09
314630,0220042002427,Laptop Acer Gaming Aspire 5 A515 58GM 51LB i5 13420H/16GB/512GB/4GB RTX2050/Win11 (NX.KQ4SV.002),Mẫu laptop gaming với mức giá tầm trung đến từ thương hiệu Acer vừa được lên kệ tại Thế Giới Di Động; sở hữu hiệu năng mạnh mẽ với con chip Intel Gen 13 dòng H hiệu năng cao; RAM 16 GB; card rời RTX cùng nhiều tính năng hiện đại. Laptop Acer Aspire 5 Gaming A515 58GM 51LB i5 13420H (NX.KQ4SV.002) chắc chắn sẽ mang đến cho bạn những trải nghiệm sử dụng và chiến game giải trí tuyệt vời.,16490000,20490000,20490000,4000000,19,,4.9,49,availability,42,22,44,Acer,acer-aspire-5-a515-58gm-51lb-i5-nxkq4sv002,/laptop/acer-aspire-5-a515-58gm-51lb-i5-nxkq4sv002,https://cdn.tgdd.vn/Products/Images/44/314630/acer-aspire-5-a515-58gm-51lb-i5-nxkq4sv002-170923-015941-600x600.jpg,{"Cấu hình":["RAM 16 GB" "SSD 512 GB"]},{"screen":"Màn hình: 15.6\"; Full HD (1920 x 1080)";"cpu":"CPU: i5; 13420H; 2.1GHz";"weight":"Khối lượng: 1.7 kg";"battery":"Pin: 3-cell; 50Wh";"card":"Card: RTX 2050 4GB"},[],2024-12-09
307185,0220042002272,Laptop Acer Aspire 5 A515 58P 34RJ i3 1315U/8GB/512GB/Win11 (NX.KHJSV.003),Laptop Acer Aspire 5 A515 58P 34RJ i3 1315U (NX.KHJSV.003) sở hữu cấu hình mạnh mẽ từ bộ vi xử lý Intel thế hệ 13 hoàn toàn mới và ngoại hình thời thượng; sang trọng. Một chiếc laptop học tập - văn phòng đáng để bạn cân nhắc sở hữu cho công việc cũng như giải trí hàng ngày.,10490000,13090000,13090000,2600000,19,,4.9,49,availability,42,22,44,Acer,acer-aspire-5-a515-58p-34rj-i3-nxkhjsv003,/laptop/acer-aspire-5-a515-58p-34rj-i3-nxkhjsv003,https://cdn.tgdd.vn/Products/Images/44/307185/acer-aspire-5-a515-58p-34rj-i3-nxkhjsv003-thumb-600x600.png,{"Cấu hình":["RAM 8 GB" "SSD 512 GB"]},{"screen":"Màn hình: 15.6\"; Full HD (1920 x 1080)";"cpu":"CPU: i3; 1315U; 1.2GHz";"weight":"Khối lượng: 1.7 kg";"battery":"Pin: 3-cell; 50Wh";"card":"Card: Intel UHD"},[],2024-12-09
329337,0220042002826,Laptop Acer Gaming Nitro AN515 58 773Y i7 12700H/16GB/512GB/4GB RTX3050Ti/144Hz/Win11 (NH.QFKSV.001.16G),Laptop Acer Gaming Nitro AN515 58 773Y i7 12700H (NH.QFKSV.001.16G) không chỉ đáp ứng hoàn hảo mọi nhu cầu mà còn vượt trội hơn với hàng loạt tính năng tiên tiến; mang lại trải nghiệm tuyệt vời cho người dùng ở mọi khía cạnh. Từ sức mạnh phần cứng đến thiết kế; chiếc máy này chắc chắn sẽ trở thành "vũ khí" giúp bạn thăng hoa trong từng trận đấu.,22990000,33790000,33790000,10800000,31,,5,5,availability,42,22,44,Acer,acer-nitro-an515-58-773y-i7-12700h-nhqfksv00116g,/laptop/acer-nitro-an515-58-773y-i7-12700h-nhqfksv00116g,https://cdn.tgdd.vn/Products/Images/44/329337/acer-nitro-an515-58-773y-i7-12700h-nhqfksv00116g-260824-111846-600x600.jpg,{"Cấu hình":["RAM 16 GB" "SSD 512 GB"]},{"screen":"Màn hình: 15.6\"; Full HD (1920 x 1080); 144Hz";"cpu":"CPU: i7; 12700H; 2.30 GHz";"weight":"Khối lượng: 2.5 kg";"battery":"Pin: 4-cell; 57.5Wh";"card":"Card: RTX 3050Ti 4GB"},[],2024-12-09
332578,0220042002953,Laptop Acer Aspire 7 A715 76 53PJ i5 12450H/16GB/512GB/Win11 (NH.QGESV.007),N/A,13990000,15990000,15990000,2000000,12,,0,0,availability,42,22,44,Acer,acer-aspire-7-a715-76-53pj-i5-nhqgesv007,/laptop/acer-aspire-7-a715-76-53pj-i5-nhqgesv007,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/332578/acer-aspire-7-a715-76-53pj-i5-nhqgesv007-thumb-638684900833732192-600x600.jpg,{"Cấu hình":["RAM 16 GB" "SSD 512 GB"]},{"screen":"Màn hình: 15.6\"; Full HD (1920 x 1080)";"cpu":"CPU: i5; 12450H; 2GHz";"weight":"Khối lượng: 2.1 kg";"battery":"Pin: 3-cell; 50Wh";"card":"Card: Intel UHD"},[],2024-12-09
304543,0220042002205,Laptop Acer Aspire 3 A315 59 5283 i5 1235U/8GB/512GB/Win11 (NX.K6TSV.00B),Laptop Acer Aspire 3 A315 59 5283 i5 (NX.K6TSV.00B) là một trong những sản phẩm nổi bật của thương hiệu Acer trong phân khúc tầm trung; được thiết kế để đáp ứng nhu cầu của người dùng về đa nhiệm; hỗ trợ cho các tác vụ làm việc văn phòng; học tập hay giải trí.,12990000,15990000,15990000,3000000,18,,4.9,49,availability,42,22,44,Acer,acer-aspire-3-a315-59-5283-i5-nxk6tsv00b,/laptop/acer-aspire-3-a315-59-5283-i5-nxk6tsv00b,https://cdn.tgdd.vn/Products/Images/44/304543/acer-aspire-3-a315-59-5283-i5-nxk6tsv00b-thumb-600x600.jpg,{"Cấu hình":["RAM 8 GB" "SSD 512 GB"]},{"screen":"Màn hình: 15.6\"; Full HD (1920 x 1080)";"cpu":"CPU: i5; 1235U; 1.3GHz";"weight":"Khối lượng: 1.7 kg";"battery":"Pin: 3-cell; 40Wh";"card":"Card: Intel UHD"},[],2024-12-09
330167,0220042002840,Laptop Acer Aspire 5 A515 58P 774R i7 1355U/16GB/512GB/Win11 (NX.KHJSV.005),Laptop Acer Aspire 5 A515 58P 774R i7 1355U (NX.KHJSV.005) - giải pháp công việc; học tập hoàn hảo cho mọi đối tượng người dùng; máy còn đáp ứng được tốt các nhu cầu giải trí đa phương tiện. Trải nghiệm ngay công cụ hữu ích này tại Thế Giới Di Động với mức giá cực kì ưu đãi lại sở hữu nhiều tính năng hiện đại.,13990000,19990000,19990000,6000000,30,,5,5,availability,42,22,44,Acer,acer-aspire-5-a515-58p-774r-i7-nxkhjsv005,/laptop/acer-aspire-5-a515-58p-774r-i7-nxkhjsv005,https://cdnv2.tgdd.vn/mwg-static/tgdd/Products/Images/44/330167/acer-aspire-5-a515-58p-774r-i7-nxkhjsv005-thumb-638628538439370885-600x600.jpg,{"Cấu hình":["RAM 16 GB" "SSD 512 GB"]},{"screen":"Màn hình: 15.6\"; Full HD (1920 x 1080)";"cpu":"CPU: i7; 1355U; 1.7GHz";"weight":"Khối lượng: 1.7 kg";"battery":"Pin: 3-cell; 50Wh";"card":"Card: Intel Iris Xe"},[],2024-12-09
323587,0220042002633,Laptop Acer Aspire 5 A515 58M 56YX i5 13420H/16GB/512GB/Win11 (NX.KQ8SV.005),Laptop Acer Aspire 5 A515 58M 56YX i5 13420H (NX.KQ8SV.005) là một trong những sự lựa chọn đáng chú ý trong phân khúc laptop cận trung cấp hiện nay. Với thiết kế tinh tế; hiệu suất mạnh mẽ và giá cả phải chăng; sản phẩm này hứa hẹn mang lại trải nghiệm đáng giá cho bạn.,14690000,17490000,17490000,2800000,16,,5,5,availability,42,22,44,Acer,acer-aspire-5-a515-58m-56yx-i5-nxkq8sv005,/laptop/acer-aspire-5-a515-58m-56yx-i5-nxkq8sv005,https://cdn.tgdd.vn/Products/Images/44/323587/acer-aspire-5-a515-58m-56yx-i5-nxkq8sv005-290624-013508-600x600.png,{"Cấu hình":["RAM 16 GB" "SSD 512 GB"]},{"screen":"Màn hình: 15.6\"; Full HD (1920 x 1080)";"cpu":"CPU: i5; 13420H; 2.1GHz";"weight":"Khối lượng: 1.7 kg";"battery":"Pin: 3-cell; 50Wh";"card":"Card: Intel UHD"},[],2024-12-09
325699,0220042002685,Laptop Acer Gaming Aspire 5 A515 58GM 53PZ i5 13420H/8GB/512GB/4GB RTX2050/Win11 (NX.KQ4SV.008),Laptop Acer Gaming Aspire 5 A515 58GM 53PZ i5 13420H (NX.KQ4SV.008) nổi lên như một "ngôi sao sáng" trong phân khúc laptop cận trung cấp; thu hút sự chú ý của đông đảo người dùng. Sở hữu thiết kế tinh tế; hiệu năng ấn tượng từ chip Intel thế hệ 13 cùng mức giá hợp lý; sản phẩm này hứa hẹn sẽ mang đến cho bạn trải nghiệm giải trí và làm việc tuyệt vời.,15490000,20490000,20490000,5000000,24,,4.9,49,availability,42,22,44,Acer,acer-aspire-a515-58gm-53pz-i5-nxkq4sv008,/laptop/acer-aspire-a515-58gm-53pz-i5-nxkq4sv008,https://cdn.tgdd.vn/Products/Images/44/325699/acer-aspire-a515-58gm-53pz-i5-nxkq4sv008-thumb-1-600x600.jpg,{"Cấu hình":["RAM 8 GB" "SSD 512 GB"]},{"screen":"Màn hình: 15.6\"; Full HD (1920 x 1080)";"cpu":"CPU: i5; 13420H; 2.1GHz";"weight":"Khối lượng: 1.7 kg";"battery":"Pin: 50 Wh";"card":"Card: RTX 2050 4GB"},[],2024-12-09
313177,0220042002380,Laptop Acer Gaming Aspire 7 A715 76G 5806 i5 12450H/16GB/512GB/4GB RTX3050/144Hz/Win11 (NH.QMFSV.002),Laptop Acer Aspire 7 Gaming A715 76G 5806 i5 12450H (NH.QMFSV.002) đến từ nhà Acer với các thông số cấu hình đầy mạnh mẽ; card rời RTX 30 series cũng như sở hữu một mức giá thành lý tưởng; chắc chắn sẽ mang đến cho anh em những trải nghiệm tuyệt vời.,18490000,22990000,22990000,4500000,19,,4.9,49,availability,42,22,44,Acer,acer-aspire-7-gaming-a715-76g-5806-i5-nhqmfsv002,/laptop/acer-aspire-7-gaming-a715-76g-5806-i5-nhqmfsv002,https://cdn.tgdd.vn/Products/Images/44/313177/acer-aspire-7-gaming-a715-76g-5806-i5-nhqmfsv002-thumb-600x600.jpg,{"Cấu hình":["RAM 16 GB" "SSD 512 GB"]},{"screen":"Màn hình: 15.6\"; Full HD (1920 x 1080); 144Hz";"cpu":"CPU: i5; 12450H; 2GHz";"weight":"Khối lượng: 2.1 kg";"battery":"Pin: 3-cell; 50Wh";"card":"Card: RTX 3050 4GB"},[],2024-12-09
327508,0220042002758,Laptop Acer Aspire Lite AL16 51P 596H i5 1235U/8GB/512GB/Win11 (NX.KWZSV.002),Bạn đang tìm kiếm một chiếc laptop đáp ứng tốt nhu cầu học tập; văn phòng và giải trí nhẹ nhàng? Laptop Acer Aspire Lite AL16 51P 596H i5 1235U (NX.KWZSV.002) là lựa chọn hoàn hảo dành cho bạn với hiệu năng mạnh mẽ; màn hình đẹp; thiết kế thanh lịch và giá cả hợp lý. Sự cân bằng hoàn hảo nhưng hiện tại đang có một mức giá vô cùng tốt tại Thế Giới Di Động.,12690000,13990000,13990000,1300000,9,,5,5,availability,42,22,44,Acer,acer-aspire-lite-al16-51p-596h-i5-nxkwzsv002,/laptop/acer-aspire-lite-al16-51p-596h-i5-nxkwzsv002,https://cdn.tgdd.vn/Products/Images/44/327508/acer-aspire-lite-al16-51p-596h-i5-nxkwzsv002-thumb-600x600.jpg,{"Cấu hình":["RAM 8 GB" "SSD 512 GB"]},{"screen":"Màn hình: 16\"; WUXGA";"cpu":"CPU: i5; 1235U; 1.3GHz";"weight":"Khối lượng: 1.7 kg";"battery":"Pin: 3-cell Li-ion; 58 Wh";"card":"Card: Intel UHD"},[],2024-12-09
